tweet_created,tweet_text,tweet_category,tweet_topics,tweet_location,tweet_state,tweet_region,user_timezone,user_gender,retweet_count
2014-12-21 16:11:00,#NewYearsResolution to not put the parking lot ticket directly in my mouth right after getting it from the machine #ew,Humor,Humor about Personal Growth and Interests Resolutions,"City of Angels, CA",CA,West,Pacific Time (US & Canada),male,
2014-12-21 16:16:00,I got the hair. I just need to work on the body to pull off Lara Croft next Halloween #NewYearsResolution http://t.co/Ihqh5Z7prx,Health & Fitness,Improve my body,"Arlington, TX",TX,South,Central Time (US & Canada),male,
2014-12-21 16:30:00,"Self improvement!.. Mentally, physically, and financially. #NewYearsResolution",Personal Growth,Improve my attitude,"Las Vegas, NV",NV,West,Central Time (US & Canada),male,
2014-12-21 17:51:00,I've decided to get pregnant in #2015 #NewYearsResolution,Humor,Humor about Family/Friends/Relationships Resolutions,"Ft. Luderdale, Florida",FL,South,,male,
2014-12-21 18:09:00,All I want for Christmas is to be Carrie Underwood. #NewYearsResolution,Personal Growth,Other,South Carolina,SC,South,Pacific Time (US & Canada),female,
2014-12-21 18:18:00,"Note to self: ""Stop being lazy &amp; get back into hot yoga."" I have a monthly pass, so no excuses! #hotyoga #newyearsresolution #healthiswealth",Health & Fitness,Excersize More,NYC,NY,Northeast,Quito,female,
2014-12-21 18:50:00,RT @ashley_pg19: I'm sick of waiting on life to happen. I want to make my life worth living. _Ùâ_ÙÎÈ #life #loveyourlife #christmastime #NewYear‰Û_,Personal Growth,Be more positive,"Green Bay, Wi",WI,Midwest,,female,
2014-12-21 19:12:00,I have to go do my 6 mile run. #stayingFIT #toneUP #StallionBOOTY #NewYearsResolution starts now.,Health & Fitness,Excersize More,"Lake Isabella, CA",CA,West,Pacific Time (US & Canada),female,
2014-12-21 19:32:00,social media purging &gt; #NewYearsResolution,Personal Growth,Try new things,Knoxville,TN,South,Quito,female,
2014-12-21 19:46:00,"My #NewYearsResolution is to gain a bunch of weight, then lose it",Humor,Humor about Personal Growth and Interests Resolutions,"Los Angeles / South Bay, CA",CA,West,Pacific Time (US & Canada),male,
